key_id,word
9000003627287624,alarm_clock airplane ambulance
9000010688666847,angel alarm_clock airplane
9000023642890129,angel animal_migration ambulance
9000038588854897,ant ambulance animal_migration
9000052667981386,ambulance animal_migration alarm_clock
9000057427034623,alarm_clock angel ambulance
9000065506980882,animal_migration angel ant
9000087586309806,alarm_clock animal_migration ambulance
9000092580281382,alarm_clock animal_migration ambulance
9000096661653918,alarm_clock angel ant
9000102548572430,ant animal_migration ambulance
9000109525154374,animal_migration angel ant
9000117423882596,alarm_clock animal_migration ambulance
9000118400618039,ant airplane angel
9000119463725679,animal_migration angel ant
9000156567772007,animal_migration ant airplane
9000159584429954,animal_migration airplane ant
9000161602785100,animal_migration angel ant
9000182604013479,alarm_clock angel animal_migration
9000183669464573,alarm_clock animal_migration ambulance
9000187440516076,airplane angel ambulance
9000193525342977,alarm_clock animal_migration ant
9000198400086554,animal_migration ant airplane
9000202569048083,ambulance angel animal_migration
9000206448363150,animal_migration airplane ant
9000234529125713,ambulance animal_migration angel
9000235467185830,ambulance animal_migration airplane
9000255623069766,ambulance animal_migration alarm_clock
9000256502783283,alarm_clock animal_migration ambulance
9000277442812262,animal_migration ambulance alarm_clock
9000277563368811,airplane animal_migration alarm_clock
9000280688246705,alarm_clock animal_migration ambulance
9000281561843445,angel airplane ant
9000281644143716,angel alarm_clock animal_migration
9000292525971382,animal_migration alarm_clock angel
9000293606925717,animal_migration ambulance ant
9000295448321106,angel animal_migration airplane
9000297423888044,ambulance animal_migration alarm_clock
9000302684801961,animal_migration ambulance angel
9000305542854882,animal_migration ambulance airplane
9000331588476138,angel ambulance airplane
9000333629927348,angel animal_migration ant
9000335621713143,alarm_clock angel ant
9000337402323494,ant animal_migration angel
9000344665837429,alarm_clock animal_migration airplane
9000348440955351,ant animal_migration ambulance
9000361563195829,animal_migration alarm_clock ambulance
9000365429792904,alarm_clock animal_migration ambulance
9000375484210103,ant animal_migration angel
9000391686579935,ant alarm_clock angel
9000413523441165,animal_migration ambulance alarm_clock
9000420504057781,ant animal_migration ambulance
9000431661425288,angel ant airplane
9000451680606033,airplane animal_migration ambulance
9000455640531010,ant angel airplane
9000466429773550,animal_migration angel ant
9000468523086039,animal_migration angel ant
9000471644375806,airplane angel ant
9000473504686321,angel airplane ant
9000485604243837,animal_migration alarm_clock angel
9000491663577318,airplane angel ant
9000497423063288,alarm_clock animal_migration ambulance
9000527546610235,animal_migration ambulance alarm_clock
9000540600886451,ambulance animal_migration angel
9000550661693875,angel animal_migration alarm_clock
9000551625789668,animal_migration airplane ant
9000561667588865,ant airplane animal_migration
9000569527667440,alarm_clock animal_migration ambulance
9000577446213536,angel animal_migration airplane
9000586580097364,angel alarm_clock ant
9000592629902441,animal_migration ant airplane
9000595623040417,animal_migration ambulance alarm_clock
9000616665497923,alarm_clock animal_migration airplane
9000665665286594,animal_migration angel ant
9000668506923417,ambulance angel animal_migration
9000675500257035,animal_migration angel ant
9000676482754765,alarm_clock animal_migration airplane
9000694646842996,airplane animal_migration ant
9000712606100178,alarm_clock ant ambulance
9000718546274191,ambulance animal_migration airplane
9000769423614782,angel animal_migration ant
9000784523002669,airplane animal_migration ambulance
9000785482980318,ambulance animal_migration alarm_clock
9000793604201000,airplane angel animal_migration
9000827567339265,animal_migration angel ant
9000836580667435,alarm_clock animal_migration ambulance
9000839404074833,alarm_clock animal_migration ambulance
9000851684655186,animal_migration airplane ant
9000857525720200,animal_migration ant airplane
9000876508043918,ambulance angel animal_migration
9000879465018596,animal_migration ant angel
9000881686592634,ambulance animal_migration ant
9000886644160027,angel animal_migration ambulance
9000887506739036,animal_migration angel airplane
9000895584087168,ant alarm_clock angel
9000919523274868,alarm_clock animal_migration ambulance
9000925682148134,ambulance angel ant
9000928467791874,ambulance ant animal_migration
9000937429165674,animal_migration angel ant
9000937682144108,animal_migration angel ant
